recno,Name,RAJ2000,DEJ2000,z,logsigma,e_logsigma,logLXbol
1,"Abell 2717",0.7474999999999999,-36.035,0.049,2.73,0.04,44.37
2,"Abell 2721",1.5604166666666663,-34.714166666666664,0.115,2.91,0.04,44.93
3,"Abell 2734",2.8337499999999998,-28.87194444444444,0.062,2.8,0.04,44.76
4,"Abell 13",3.410416666666666,-19.505277777777774,0.094,2.95,0.04,44.7
5,"Abell 2744",3.5812499999999994,-30.388611111111107,0.308,3.29,0.07,45.8
6,"SRGB 062",4.6049999999999995,30.070277777777772,0.023,2.59,0.05,43.26
7,"CL 0016+1609",4.638749999999999,16.44333333333333,0.541,3.09,0.05,45.45
8,"Abell 21",5.128333333333333,28.627499999999998,0.095,2.79,0.13,44.91
9,"SRGB 063",5.409999999999999,22.40555555555555,0.019,2.53,0.05,43.16
10,"ZWCL 0024.0+1652",6.6499999999999995,17.14333333333333,0.39,3.13,0.08,44.63
11,"SRGB 075",10.313749999999999,25.481666666666662,0.015,1.71,0.13,42.84
12,"Abell 85",10.407499999999999,-9.3425,0.056,2.91,0.04,45.29
13,"Abell S0084",12.328333333333331,-29.526666666666664,0.11,2.52,0.06,44.78
14,"Abell 115",13.997916666666665,26.32055555555555,0.197,3.07,0.13,45.49
15,"Abell 119",14.089166666666666,-1.2630555555555554,0.044,2.94,0.07,44.86
16,"NGC 315GRP",14.604166666666664,30.65305555555555,0.016,2.09,0.13,42.15
17,"NGC 383GRP",15.171666666666665,32.189722222222215,0.017,2.67,0.13,43.31
18,"Abell 133",15.662499999999998,-21.954166666666662,0.057,2.87,0.05,44.82
19,"SRGB 087",16.124166666666664,-0.7477777777777777,0.018,2.42,0.08,42.24
20,"NGC 383GRP",16.865416666666665,32.399722222222216,0.017,2.72,0.03,43.31
21,"Abell 151",17.217916666666664,-15.416944444444443,0.053,2.85,0.04,44.36
22,"APMCC 147",17.241249999999997,-46.130555555555546,0.023,3.01,0.05,43.93
23,"Abell 2877",17.455416666666665,-45.90055555555555,0.025,2.87,0.03,43.91
24,"Abell 154",17.74208333333333,17.665555555555553,0.064,2.93,0.11,44.26
25,"Abell 160",18.214166666666664,15.514999999999997,0.045,2.76,0.13,43.94
26,"SS2B 037",18.471666666666664,-31.739166666666662,0.018,2.47,0.06,42.98
27,"Abell 168",18.79083333333333,0.24749999999999997,0.045,2.64,0.03,44.18
28,"S34-113",20.829583333333332,33.36083333333333,0.019,2.81,0.04,43.34
29,"Abell 189",20.91833333333333,1.6438888888888887,0.033,2.41,0.12,43.32
30,"NGC 524GRP",21.006666666666664,9.460277777777776,0.008,2.31,0.13,41.37
31,"Abell 193",21.280416666666664,8.693333333333332,0.049,2.86,0.04,44.48
32,"NGC 533GRP",21.371249999999996,1.804722222222222,0.018,2.61,0.04,42.95
33,"Abell 194",21.387916666666662,-1.5069444444444442,0.018,2.53,0.06,43.34
34,"SRGB 103",21.505416666666665,-1.367222222222222,0.017,2.6,0.04,43.23
35,"HCG 12",21.890416666666663,-4.670555555555555,0.049,2.43,0.13,42.31
36,"SS2S 056",24.226666666666663,-14.022777777777776,0.038,2.67,0.09,43.06
37,"Abell 222",24.364166666666662,-12.979166666666664,0.213,2.76,0.13,44.88
38,"SRGB 115",27.312916666666663,13.069166666666664,0.016,2.49,0.08,42.9
39,"Abell 262",28.209999999999997,36.146111111111104,0.016,2.72,0.03,43.93
40,"Abell 272",28.82958333333333,33.94472222222222,0.088,2.84,0.1,44.87
41,"SRGB 119",29.089999999999996,5.617777777777777,0.018,2.57,0.05,42.66
42,"HCG 15",31.912499999999994,2.138333333333333,0.023,2.66,0.13,41.8
43,"HCG 16",32.38041666666666,-10.15861111111111,0.013,2.13,0.13,41.68
44,"SS2B 085",37.30333333333333,-10.855555555555554,0.014,2.2,0.11,42.36
45,"SRGB 145",37.949999999999996,1.2741666666666664,0.022,2.59,0.05,42.94
46,"Abell 370",39.96041666666666,-1.5855555555555554,0.375,3.13,0.06,45.32
47,"SS2B 101",42.392083333333325,-31.186111111111106,0.021,2.58,0.06,43.27
48,"SRGB 155",43.20291666666666,-1.2838888888888886,0.023,2.47,0.05,43.29
49,"WBL 088",43.63416666666666,41.58611111111111,0.017,2.94,0.05,44.48
50,"A400",44.40583333333333,6.012499999999999,0.023,2.74,0.05,43.72
51,"Abell 399",44.48499999999999,13.016388888888887,0.072,2.98,0.03,45.9
52,"Abell 401",44.737083333333324,13.58222222222222,0.074,3.06,0.03,45.42
53,"Abell 407",45.432083333333324,35.83,0.046,2.78,0.13,44.06
54,"SS2B 110",46.04624999999999,-12.084166666666665,0.012,2.56,0.09,42.76
55,"MS 0302.5+1717",46.32916666666666,17.47722222222222,0.425,2.81,0.06,44.96
56,"Abell 3093",47.71666666666666,-47.39527777777777,0.083,2.64,0.07,43.32
57,"Abell 3112",49.46833333333333,-44.24305555555555,0.075,2.74,0.06,45.17
58,"Abell 426",49.65166666666666,41.51499999999999,0.018,3.11,0.03,45.5
59,"S49-142",50.182083333333324,-1.0519444444444443,0.021,1.84,0.01,42.26
60,"Abell 3126",52.182083333333324,-55.712222222222216,0.086,3.02,0.06,44.86
61,"Abell 3128",52.644166666666656,-52.55333333333333,0.06,2.92,0.02,44.68
62,"Abell 3158",55.66499999999999,-53.630555555555546,0.06,2.99,0.03,45.06
63,"Abell 458",56.460833333333326,-24.27833333333333,0.106,2.87,0.04,44.78
64,"Abell 400",58.888749999999995,-36.57166666666666,0.32,2.78,0.05,43.78
65,"Abell 3223",62.14374999999999,-30.818888888888885,0.06,2.81,0.04,44.27
66,"Abell 478",63.33624999999999,10.476388888888888,0.088,2.96,0.1,45.51
67,"NGC 1587GRP",67.69208333333333,0.4069444444444444,0.012,2.03,0.13,41.5
68,"Abell 3266",67.79958333333333,-61.40638888888888,0.059,3.06,0.03,45.22
69,"Abell 496",68.40458333333332,-13.246111111111109,0.033,2.84,0.05,44.83
70,"MS 0440.5+0204",70.79041666666666,2.1719444444444442,0.19,2.78,0.04,44.87
71,"Abell 514",71.91666666666666,-20.428888888888885,0.071,2.95,0.04,44.51
72,"MS 0451.6-0305",73.54541666666665,-3.018611111111111,0.55,3.14,0.03,45.73
73,"Abell 520",73.57916666666665,2.946944444444444,0.199,2.99,0.03,45.57
74,"Abell S0506",75.26833333333332,-24.411388888888887,0.32,3.11,0.1,45.24
75,"HCG 33",77.69958333333332,18.03472222222222,0.026,2.24,0.13,41.77
76,"Abell 539",79.14625,6.453888888888888,0.028,2.92,0.04,44.27
77,"Abell 3360",85.07833333333332,-43.39194444444444,0.085,2.92,0.05,44.32
78,"Abell 548",86.75708333333333,-25.616388888888885,0.042,2.93,0.03,44.42
79,"Abell 3376",90.18166666666666,-40.05,0.046,2.86,0.04,44.67
80,"Abell 3389",95.44749999999999,-64.95972222222221,0.027,2.77,0.04,43.68
81,"Abell 3391",96.56416666666665,-53.6811111111111,0.051,2.9,0.04,44.7
82,"Abell 3395",96.87958333333331,-54.399444444444434,0.051,2.92,0.02,44.77
83,"Abell 569",107.29333333333332,48.61944444444444,0.02,2.51,0.09,43.48
84,"Abell 576",110.35041666666665,55.73888888888888,0.039,2.98,0.04,44.43
85,"Abell 578",111.25541666666665,66.98527777777777,0.087,2.9,0.13,44.78
86,"NGC 2276GRP",115.77291666666665,85.37499999999999,0.006,2.4,0.13,43.65
87,"NGC 2563GRP",125.10166666666665,21.096111111111107,0.016,2.53,0.13,42.79
